genus,species,subclass,family,alien,main.habitat,detailed.habitat,life.form,ldetailed.life.form,sum.2007,status,listed.for.hf,verified,reason.not.listed,current,historical,synonyms,common.name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,grout,simes
Chenopodium,album,Caryophyllidae,Chenopodiaceae,1,O,OD,H,HA,4,U,1,1,NA,1,0,NA,Pigweed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Chimaphila,maculata,Dilleniidae,Pyrolaceae,0,F,F,S,SDE,16,F,1,1,NA,1,0,NA,Spotted Pipsissewa,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1
Chimaphila,umbellata,Dilleniidae,Pyrolaceae,0,F,F,S,SDE,10,O,1,1,NA,1,1,NA,Pipsissewa,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1
Chrysanthemum,leucanthemum,Asteridae,Asteraceae,1,O,OP RW RP,H,HL,10,O,1,1,NA,1,1,NA,Ox-eye Daisy,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Chrysosplenium,americanum,Rosidae,Saxifragaceae,0,W,WF WS,H,HS,3,U,1,1,NA,1,1,NA,Golden Saxifrage,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cichorium,intybus,Asteridae,Asteraceae,1,O,RP,H,HL,1,U,1,1,NA,1,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cicuta,bulbifera,Rosidae,Apiaceae,0,W,WO,H,HL,4,U,1,1,NA,1,1,NA,Bulblet Water-hemlock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cicuta,maculata,Rosidae,Apiaceae,0,W ,WO,H,HL,4,U,1,1,NA,1,0,NA,Spotted Water-hemlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Cinna,latifolia,Commelinidae,Poaceae,0,F,F,H,HL,13,F,1,1,NA,1,1,NA,Drooping woodreed,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
Circaea,alpina,Rosidae,Onagraceae,0,W,WF,H,HL,4,U,1,1,NA,1,1,NA,Small Enchanter's Nightshade,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Circaea,lutetiana,Rosidae,Onagraceae,0,F,F,H,HL,13,F,1,1,NA,1,1,C. quadrisulcata; C. latifolia;,Large Enchanter's Nightshade,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
Cirsium,arvense,Asteridae,Asteraceae,1,O,OP,H,HL,2,U,1,1,NA,1,1,NA,Canada Thistle,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium,vulgare,Asteridae,Asteraceae,1,O,OD,H,HL,3,U,1,1,NA,1,1,C. lanceolatum,Common Thistle,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladium,mariscoides,Commelinidae,Cyperaceae,0,W,WP,G,GL,2,U,1,1,NA,1,0,NA,Twig Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Clematis,virginiana,Magnoliidae,Ranunculaceae,0,O,OE,H,HL,7,O,1,1,NA,1,1,NA,Virgin's Bower,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Clethra,alnifolia,Dilleniidae,Clethraceae,0,W,WP,S,S,1,U,1,1,NA,1,1,NA,Sweet pepperbush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Clinopodium,vulgare,Asteridae,Lamiaceae,0,O,OD OP,H,HL,2,U,1,1,NA,1,0,Satureja vulgaris,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Clintonia,borealis,Liliidae,Liliaceae,0,F,F,H,HS,27,C,1,1,NA,1,1,NA,Woodlily,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Coeloglossum,viride,Liliidae,Orchidaceae,0,F,F,H,HL,1,U,1,1,NA,1,0,Habenaria viridis var. bracteata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Comandra,umbellata,Rosidae,Santalaceae,0,F,FO,H,HL,0,M,1,1,NA,0,1,NA,Bastard Toadflax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commelina,communis,Commelinidae,Commelinaceae,1,O,OP,H,HL,2,U,1,1,NA,1,0,NA,Common Dayflower,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comptonia,peregrina,Hamameliidae,Myricaceae,0,O,OB,S,S,16,F,1,1,NA,1,1,Myrica asplenifolia,Sweetfern,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1
Convalaria,majalis,Liliidae,Liliaceae,1,O,OG,H,HS,1,U,0,1,NDN,1,0,NA,Lilly-of-the-Valley,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conyza,canadensis,Asteridae,Asteraceae,0,O,OD RP,H,HA,4,U,1,1,NA,1,0,Erigeron canadensis,Horseweed,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Coptis,trifolia,Magnoliidae,Ranunculaceae,0,W,WF,H,HS,22,C,1,1,NA,1,1,C. groenlandica,Goldthread,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1
Corallorhiza,maculata,Liliidae,Orchidaceae,0,F,F,H,HL,1,U,1,1,NA,1,1,NA,Spotted Coralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Corallorhiza,trifida,Liliidae,Orchidaceae,0,W,WF,H,HS,2,U,1,1,NA,1,1,NA,Early Coralroot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cornus,alternifolia,Rosidae,Cornaceae,0,F,F,S,S,17,F,1,1,NA,1,1,NA,Alternate-leaved Dogwood,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1
Cornus,amomum,Rosidae,Cornaceae,0,W,WO,S,S,4,U,1,1,NA,1,1,C. obliqua,Silky Dogwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Cornus,canadensis,Rosidae,Cornaceae,0,F,F,S,S,20,F,1,1,NA,1,1,NA,Bunchberry,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1
Cornus,florida,Rosidae,Cornaceae,0,F,FR,S,S,0,M,1,1,NA,0,1,NA,Flowering Dogwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornus,racemosa,Rosidae,Cornaceae,0,O,OE OT,S,S,0,M,1,1,NA,0,1,C. paniculata,Gray Dogwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornus,rugosa,Rosidae,Cornaceae,0,F,FR,S,S,2,U,1,1,NA,1,1,NA,Round-leaved Dogwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Cornus,sericea,Rosidae,Cornaceae,0,W,WO,S,S,1,U,1,1,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corydalis,sempervirens,Magnoliidae,Fumariaceae,0,O,OB,H,HS,1,U,1,1,NA,1,1,NA,Pale Corydalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Corylus,americana,Hamameliidae,Betulaceae,0,O,OE,S,S,0,M,1,1,NA,0,1,NA,American Hazelnut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corylus,cornuta,Hamameliidae,Betulaceae,0,F,F,S,S,17,F,1,1,NA,1,1,NA,Beaked Hazelnut,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1
Crataegus,macrosperma,Rosidae,Rosaceae,0,F,F,T,T,1,?,1,1,NA,1,0,NA,Hawthornes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crataegus,sp.,Rosidae,Rosaceae,0,F,F,T,T,25,C,1,1,NA,1,1,NA,Hawthornes,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1
Crocus?,sp.,Liliidae,Iridaceae,1,NA,NA,H,NA,1,U,0,0,NDN,1,0,NA,Crocus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuscuta,gronovii,Asteridae,Cuscutaceae,0,W,WS WP,H,HA,4,U,1,1,NA,1,1,NA,Common Dodder,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynoglossum,virginianum,Asteridae,Boraginaceae,0,F,FR,H,HL,0,M,1,1,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyperus,bipartitus,Commelinidae,Cyperaceae,0,W,WP,G,GA,1,U,1,1,NA,1,1,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyperus,erythrorhizos,Commelinidae,Cyperaceae,0,W,WP,G,GA,1,LF,1,1,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cyperus,esculentus,Commelinidae,Cyperaceae,0,W,WP,G,GL,1,U,1,1,NA,1,0,NA,Sweet Cyperus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyperus,lupulinus,Commelinidae,Cyperaceae,0,O,RP,G,GL,1,U,1,1,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cyperus,strigosus,Commelinidae,Cyperaceae,0,W,WO,G,GL,1,U,1,1,NA,1,0,NA,Umbrella-sedge,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypripedium,acaule,Liliidae,Orchidaceae,0,F,F,H,HS,24,C,1,1,NA,1,1,NA,Pink Lady's Slipper,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1
Cystopteris,fragilis,Pteridophyte,Aspleniaceae,0,FR,FR,F,F,3,U,1,1,NA,1,1,C. tenuis,Fragile Fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dactylis,glomerata,Commelinidae,Poaceae,1,O,OP,G,GL,9,O,1,1,NA,1,1,NA,Orchard Grass,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Dalibarda,repens,Rosidae,Rosaceae,0,F W,F WF,H,HL,13,F,1,1,NA,1,1,NA,Dewdrop,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
Danthonia,compressa,Commelinidae,Poaceae,0,F,RW,G,GL,26,C,1,1,NA,1,1,NA,Oatgrass,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Danthonia,spicata,Commelinidae,Poaceae,0,O,OB FO ,G,GL,20,F,1,1,NA,1,1,NA,Oatgrass,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1
Daucus,carota,Rosidae,Apiaceae,1,O,OP RP,H,HL,1,U,1,1,NA,1,0,NA,Queen Anne's Lace,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decodon,verticillatus,Rosidae,Lythraceae,0,W,WP,S,S,2,LC,1,1,NA,1,1,NA,Water Willow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Dennstaedtia,punctilobula,Pteridophyte,Dennstaedtiaceae,0,F,F,F,F,32,C,1,1,NA,1,1,NA,Hay-scented Fern,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Deparia,acrostichoides,Pteridophyte,Dryopteridaceae,0,F,FR,F,F,7,O,1,1,NA,1,1,Athyrium acrostichoides; A. the,Silvery Glade Fern,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Desmodium,glutinosum,Rosidae,Fabaceae,0,O,FR,H,HL,2,U,1,1,NA,1,0,NA,Sticky Tick-trefoil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Desmodium,nudiflorum,Rosidae,Fabaceae,0,F,FR,H,HL,4,U,1,1,NA,1,1,NA,Common Tick-trefoil,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dianthus,armeria,Caryophyllidae,Caryophyllaceae,1,O,OP,H,HL,0,M,1,1,NA,0,1,NA,Deptford Pink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dianthus,barbatus,Caryophyllidae,Caryophyllaceae,1,O,OP,H,HL,1,U,1,1,NA,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dianthus,deltoides,Caryophyllidae,Caryophyllaceae,1,O,OP,H,HL,4,U,1,1,NA,1,1,NA,Maiden Pink,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicentra,eximia,Magnoliidae,Fumariaceae,1,O,OD,H,HL,1,U,1,1,NA,1,1,NA,Bleeding Heart,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dichanthelium,acuminatum ssp. columbianum,Commelinidae,Poaceae,0,O,OB,G,GL,2,U,1,1,NA,1,1,Panicum columbianum,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dichanthelium,acuminatum ssp. fasciculatum,Commelinidae,Poaceae,0,O W,OB RW WO,G,GL,11,F,1,1,NA,1,1,Panicum lanuginosum var. fasiculatum,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1
Dichanthelium,acuminatum ssp. implicatum,Commelinidae,Poaceae,0,O,O,G,GL,4,U,1,1,NA,1,1,Panicum lanuginosum var. implicatum,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Dichanthelium,acuminatum ssp. spretum,Commelinidae,Poaceae,0,O,O,G,GL,0,M,1,1,NA,0,1,Panicum spretum,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dichanthelium,boreale,Commelinidae,Poaceae,0,W,WO WS WP,G,GL,7,O,1,1,NA,1,1,Panicum b.,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Dichanthelium,clandestinum,Commelinidae,Poaceae,0,O W,RP RW WS WP,G,GL,14,F,1,1,NA,1,1,NA,Deer-tongue Grass,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1
Dichanthelium,dichotomum,Commelinidae,Poaceae,0,F,FR,G,GL,0,M,1,1,NA,0,1,Panicum d.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dichanthelium,latifolium,Commelinidae,Poaceae,0,F,FR,G,GL,2,U,1,1,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dichanthelium,linearifolium,Commelinidae,Poaceae,0,O,OB RP RW,G,GL,5,U,1,1,NA,1,1,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dichanthelium,xanthophysum,Commelinidae,Poaceae,0,F,FO,G,GL,0,M,1,1,NA,0,1,NA,Yellow-fruited Panic Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diervilla,lonicera,Asteridae,Caprifoliaceae,0,F,FO,S,S,21,C,1,1,NA,1,1,NA,Bush Honeysuckle,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1
Digitalis,sp.,Asteridae,Scrophulariaceae,1,O,RW,H,HL,1,U,1,1,NA,1,0,NA,Digitalis cultivar - yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Digitaria,ischaemum,Commelinidae,Poaceae,1,O,OP RP,G,GA,8,O,1,1,NA,1,0,NA,Smooth Crabgrass,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Digitaria ,sanguinalis,Commelinidae,Poaceae,1,O,OP RP,G,GA,6,O,1,1,NA,1,0,NA,Tall Crabgrass,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Diphasiastrum,digitatum,Pteridophyte,Lycopodiacea,0,F,F,S,SDE,27,C,1,1,NA,1,1,Lycopodium digitatum; Lycopodium complanatum,Ground Cedar,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
Diphasiastrum,tristachyum,Pteridophyte,Lycopodiacea,0,F,F,S,SDE,4,U,1,1,NA,1,1,Lycopodium tristachyum,Ground Cedar,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dirca,palustris,Rosidae,Thymelaeaceae,0,F,FR,S,S,1,U,1,1,NA,1,1,NA,Leatherwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Drosera,intermedia,Rosidae,Droseraceae,0,W,WB,H,HL,3,LC,1,1,NA,1,1,NA,Spatulate-leaved Sundew,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Drosera,rotundifolia,Rosidae,Droseraceae,0,W,WB,H,HL,6,O,1,1,NA,1,1,NA,Round-leaved Sundew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Dryopteris,carthusiana,Pteridophyte,Aspleniaceae,0,W,WF,F,FE,8,O,1,1,NA,1,1,Dryopteris spinulosa,Spinulose wood Fern,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Dryopteris,cristata,Pteridophyte,Aspleniaceae,0,W,WF,F,FE,11,F,1,1,NA,1,1,NA,Crested Wood Fern,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1
Dryopteris,intermedia,Pteridophyte,Aspleniaceae,0,F,F,F,FE,31,C,1,1,NA,1,1,Dryopteris spinulosa var. intermedia,Evergreen Woodfern,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Dryopteris,marginalis,Pteridophyte,Aspleniaceae,0,F,F,F,FE,21,C,1,1,NA,1,1,NA,Marginal Wood Fern,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Dryopteris,x boottii,Pteridophyte,Aspleniaceae,0,W,WF,F,FE,1,U,0,1,hybrid,1,1,NA,Boott's Fern,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryopteris,x triploidea,Pteridophyte,Aspleniaceae,0, , ,F,FE,0,M,0,1,hybrid,0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryopteris,x uliginosa,Pteridophyte,Aspleniaceae,0,NA,NA,F,FE,1,U,0,1,hybrid,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dulichium,arundinaceum,Commelinidae,Cyperaceae,0,W,WO WP,G,GL,9,O,1,1,NA,1,1,NA,Three-way Sedge,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
Echinochloa,crusgalli,Commelinidae,Poaceae,1,O,OD,G,HA,1,U,1,1,NA,1,1,NA,Billion-dollar Grass,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinochloa,muricata,Commelinidae,Poaceae,0,O,OD,G,HA,1,U,1,1,NA,1,0,NA,Billion-dollar Grass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elaeagnus,umbellata,Rosidae,Elaegnaceae,1,O,OE,S,S,3,U,1,1,NA,1,0,NA,Autumn Olive,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eleocharis,acicularis,Commelinidae,Cyperaceae,0,W,WP,G,GL,2,U,1,1,NA,1,1,NA,Needle Spikerush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eleocharis,flavescens var olivacea,Commelinidae,Cyperaceae,0,W,WP,G,GA,2,LC,1,1,NA,1,1,Eleocharis olivacea,Olive Spikerush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eleocharis,obtusa,Commelinidae,Cyperaceae,0,W,WO,G,GA,2,U,1,1,NA,1,1,NA,Blunt Spike-rush,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eleocharis,palustris,Commelinidae,Cyperaceae,0,W,WP,G,GL,2,U,1,1,NA,1,1,E. smallii,Marsh Spikerush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eleocharis,tenuis,Commelinidae,Cyperaceae,0,W,WO,G,GL,3,U,1,1,NA,1,0,E. elliptica,Slender Spikerush,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Elymus,hysterix,Commelinidae,Poaceae,0,F,FR,G,GL,1,U,1,1,NA,1,0,Hysterix patula,Bottle-brush Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elytrigia,repens,Commelinidae,Poaceae,1,O,OD RP,G,GL,5,U,1,1,NA,1,1,Agropyron repens,Quackgrass,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Epifagus,virginiana,Asteridae,Orobanchaceae,0,F,F,H,HL,4,U,1,1,NA,1,1,NA,Beech Drops,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Epigaea,repens,Dilleniidae,Ericaceae,0,F,F,S,SDE,16,F,1,1,NA,1,1,NA,Trailing Arbutus,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1
Epilobium,angustifolium,Rosidae,Onagraceae,0,O,OD,H,HL,0,M,1,1,NA,0,1,NA,Fireweed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
